M x MA ZA MB ZB MAB MBA
(Sc,Fe,1.0,0.0) 0.0000000000000000 0.0000000000000000 0.0000000000000000 3.0000000000000000 2.2604000000000002 8.0000000000000000 -0.3266700000000000 0.0000000000000000
(Sc,Fe,0.9,0.1) 0.0000000000000000 0.1000000000000000 0.0000000000000000 3.0000000000000000 2.2604000000000002 8.0000000000000000 -0.3266700000000000 0.0000000000000000
(Sc,Fe,0.8,0.2) 0.0000000000000000 0.2000000000000000 0.0000000000000000 3.0000000000000000 2.2604000000000002 8.0000000000000000 -0.3266700000000000 0.0000000000000000
(Sc,Fe,0.7,0.3) 0.0000000000000000 0.3000000000000000 0.0000000000000000 3.0000000000000000 2.2604000000000002 8.0000000000000000 -0.3266700000000000 0.0000000000000000
(Sc,Fe,0.6,0.4) 0.0000000000000000 0.4000000000000000 0.0000000000000000 3.0000000000000000 2.2604000000000002 8.0000000000000000 -0.3266700000000000 0.0000000000000000
(Sc,Fe,0.5,0.5) 0.3157000000000000 0.5000000000000000 0.0000000000000000 3.0000000000000000 2.2604000000000002 8.0000000000000000 -0.3266700000000000 0.0000000000000000
(Sc,Fe,0.4,0.6) 0.7056000000000000 0.6000000000000000 0.0000000000000000 3.0000000000000000 2.2604000000000002 8.0000000000000000 -0.3266700000000000 0.0000000000000000
(Sc,Fe,0.3,0.7) 1.0831000000000000 0.7000000000000000 0.0000000000000000 3.0000000000000000 2.2604000000000002 8.0000000000000000 -0.3266700000000000 0.0000000000000000
(Sc,Fe,0.2,0.8) 1.4793000000000001 0.8000000000000000 0.0000000000000000 3.0000000000000000 2.2604000000000002 8.0000000000000000 -0.3266700000000000 0.0000000000000000
(Sc,Fe,0.1,0.9) 1.8709000000000000 0.9000000000000000 0.0000000000000000 3.0000000000000000 2.2604000000000002 8.0000000000000000 -0.3266700000000000 0.0000000000000000
(Sc,Fe,0.0,1.0) 2.2604000000000002 1.0000000000000000 0.0000000000000000 3.0000000000000000 2.2604000000000002 8.0000000000000000 -0.3266700000000000 0.0000000000000000
(Ti,Fe,1.0,0.0) 0.0000000000000000 0.0000000000000000 0.0000000000000000 4.0000000000000000 2.2604000000000002 8.0000000000000000 -0.6938200000000000 0.0000000000000000
(Ti,Fe,0.9,0.1) 0.0000000000000000 0.1000000000000000 0.0000000000000000 4.0000000000000000 2.2604000000000002 8.0000000000000000 -0.6938200000000000 0.0000000000000000
(Ti,Fe,0.8,0.2) 0.0000000000000000 0.2000000000000000 0.0000000000000000 4.0000000000000000 2.2604000000000002 8.0000000000000000 -0.6938200000000000 0.0000000000000000
(Ti,Fe,0.7,0.3) 0.0000000000000000 0.3000000000000000 0.0000000000000000 4.0000000000000000 2.2604000000000002 8.0000000000000000 -0.6938200000000000 0.0000000000000000
(Ti,Fe,0.6,0.4) 0.0000000000000000 0.4000000000000000 0.0000000000000000 4.0000000000000000 2.2604000000000002 8.0000000000000000 -0.6938200000000000 0.0000000000000000
(Ti,Fe,0.5,0.5) 0.3813000000000000 0.5000000000000000 0.0000000000000000 4.0000000000000000 2.2604000000000002 8.0000000000000000 -0.6938200000000000 0.0000000000000000
(Ti,Fe,0.4,0.6) 0.7200000000000000 0.6000000000000000 0.0000000000000000 4.0000000000000000 2.2604000000000002 8.0000000000000000 -0.6938200000000000 0.0000000000000000
(Ti,Fe,0.3,0.7) 1.0834999999999999 0.7000000000000000 0.0000000000000000 4.0000000000000000 2.2604000000000002 8.0000000000000000 -0.6938200000000000 0.0000000000000000
(Ti,Fe,0.2,0.8) 1.4692000000000001 0.8000000000000000 0.0000000000000000 4.0000000000000000 2.2604000000000002 8.0000000000000000 -0.6938200000000000 0.0000000000000000
(Ti,Fe,0.1,0.9) 1.8738999999999999 0.9000000000000000 0.0000000000000000 4.0000000000000000 2.2604000000000002 8.0000000000000000 -0.6938200000000000 0.0000000000000000
(Ti,Fe,0.0,1.0) 2.2604000000000002 1.0000000000000000 0.0000000000000000 4.0000000000000000 2.2604000000000002 8.0000000000000000 -0.6938200000000000 0.0000000000000000
(V,Fe,1.0,0.0) 0.0054000000000000 0.0000000000000000 0.0054000000000000 5.0000000000000000 2.2604000000000002 8.0000000000000000 -1.1645500000000000 -0.0047500000000000
(V,Fe,0.9,0.1) 0.0000000000000000 0.1000000000000000 0.0054000000000000 5.0000000000000000 2.2604000000000002 8.0000000000000000 -1.1645500000000000 -0.0047500000000000
(V,Fe,0.8,0.2) 0.0000000000000000 0.2000000000000000 0.0054000000000000 5.0000000000000000 2.2604000000000002 8.0000000000000000 -1.1645500000000000 -0.0047500000000000
(V,Fe,0.7,0.3) 0.1023000000000000 0.3000000000000000 0.0054000000000000 5.0000000000000000 2.2604000000000002 8.0000000000000000 -1.1645500000000000 -0.0047500000000000
(V,Fe,0.6,0.4) 0.4021000000000000 0.4000000000000000 0.0054000000000000 5.0000000000000000 2.2604000000000002 8.0000000000000000 -1.1645500000000000 -0.0047500000000000
(V,Fe,0.5,0.5) 0.6609000000000000 0.5000000000000000 0.0054000000000000 5.0000000000000000 2.2604000000000002 8.0000000000000000 -1.1645500000000000 -0.0047500000000000
(V,Fe,0.4,0.6) 0.9287000000000000 0.6000000000000000 0.0054000000000000 5.0000000000000000 2.2604000000000002 8.0000000000000000 -1.1645500000000000 -0.0047500000000000
(V,Fe,0.3,0.7) 1.2101000000000000 0.7000000000000000 0.0054000000000000 5.0000000000000000 2.2604000000000002 8.0000000000000000 -1.1645500000000000 -0.0047500000000000
